abbreviation,full_word,category,source
รร.,โรงเรียน,สถานศึกษา,KhamYo / PyThaiNLP
รร.,โรงแรม,สถานที่,KhamYo / PyThaiNLP
ร.ร.,โรงเรียน,สถานศึกษา,KhamYo / PyThaiNLP
ผอ.,ผู้อำนวยการ,ตำแหน่ง/อาชีพ,KhamYo / PyThaiNLP
นร.,นักเรียน,สถานภาพ,KhamYo / PyThaiNLP
นร,สำนักนายกรัฐมนตรี,หน่วยงานราชการ,KhamYo / PyThaiNLP
นสพ.,หนังสือพิมพ์,สื่อ/เอกสาร,KhamYo / PyThaiNLP
นสพ.,นายสัตวแพทย์,ตำแหน่ง/อาชีพ,KhamYo / PyThaiNLP
ป.ล.,ปัจฉิมลิขิต,ภาษา/การเขียน,KhamYo / PyThaiNLP
พ.ศ.,พุทธศักราช,ศักราช/เวลา,KhamYo / PyThaiNLP
ค.ศ.,คริสต์ศักราช,ศักราช/เวลา,KhamYo / PyThaiNLP
ม.ศ.,มหาศักราช,ศักราช/เวลา,KhamYo / PyThaiNLP
ร.ศ.,รัตนโกสินทร์ศก,ศักราช/เวลา,KhamYo / PyThaiNLP
รศ.,รองศาสตราจารย์,ตำแหน่งวิชาการ,KhamYo / PyThaiNLP
ผศ.,ผู้ช่วยศาสตราจารย์,ตำแหน่งวิชาการ,KhamYo / PyThaiNLP
ศจ.,ศาสตราจารย์,ตำแหน่งวิชาการ,KhamYo / PyThaiNLP
ดร.,ด็อกเตอร์,ตำแหน่งวิชาการ,KhamYo / PyThaiNLP
อ.ศ.,อาจารย์พิเศษ,ตำแหน่งวิชาการ,ORST / Thai Wikipedia
อ.,อาจารย์,ตำแหน่งวิชาการ,KhamYo / PyThaiNLP
อ.,อำเภอ,การปกครอง,KhamYo / PyThaiNLP
อ.,วันอังคาร,วัน/เวลา,KhamYo / PyThaiNLP
ต.,ตำบล,การปกครอง,KhamYo / PyThaiNLP
ต.,เมตริกตัน,หน่วยวัด,KhamYo / PyThaiNLP
จ.,จังหวัด,การปกครอง,KhamYo / PyThaiNLP
ร.พ.,โรงพยาบาล,การแพทย์,KhamYo / PyThaiNLP
ร.พ.,โรงพิมพ์,ธุรกิจ/อุตสาหกรรม,KhamYo / PyThaiNLP
